RowNum	OrigBook	OrigRef	MatchedBook	MatchedRef	Score	SplitMethod	QuoteLen	Status
227	Ru	1:18	Ru	3:18	0.2857	period	71	MARGINAL
228	Ru	1:13	Ru	1:13	0.1190	period	207	LOW_CONFIDENCE
229	Ru	1:6	Ru	1:6	0.1786	annotation_marker	289	LOW_CONFIDENCE
230	Ru	1:4	1Sm	2:5	0.3542	period	249	OK
231	Ru	1:6	Ru	1:6	0.1875	period	72	LOW_CONFIDENCE
232	Ru	1:8	Ex	8:14	0.3333	period	46	MARGINAL
233	Ru	1:5	1Sm	6:5	0.3934	period	430	OK
234	Ru	1:4	1Sm	7:4	0.3333	period	90	MARGINAL
235	Ru	1:9	Ru	1:9	0.1429	period	16	LOW_CONFIDENCE
236	Ru	1:7	Ru	1:7	0.1818	period	619	LOW_CONFIDENCE
237	Ru	1:10	Lk	17:9	0.2667	period	47	MARGINAL
238	Ru	1:19	1Sm	10:17	0.3333	period	60	MARGINAL
239	Ru	1:16	1Sm	15:17	0.3088	period	459	MARGINAL
240	Ru	1:7	Ru	1:7	0.2292	period	268	LOW_CONFIDENCE
241	Ru	1:22	1Sm	17:22	0.4146	period	195	OK
242	Ru	1:22	1Sm	18:22	0.2615	period	398	MARGINAL
243	Ru	1:17	Ru	1:17	0.2326	period	181	LOW_CONFIDENCE
244	Ru	1:19	1Sm	19:19	0.5556	period	78	OK
245	Ru	1:2	Ru	1:2	0.0833	period	64	LOW_CONFIDENCE
246	Ru	1:4	1Sm	20:4	0.3913	period	84	OK
247	Ru	1:7	1Sm	21:7	0.5484	period	170	OK
248	Ru	1:1	Ru	1:1	0.0000	period	40	STRUCTURAL_GAP
249	Tb	2:8	Tb	2:8	0.0000	period	16	STRUCTURAL_GAP
250	Tb	1:12	Lk	13:10	0.3571	period	61	OK
251	Tb	2:19	Tb	2:19	0.1667	period	40	LOW_CONFIDENCE
252	Tb	2:17	Tb	2:17	0.5385	period	67	OK
253	Tb	2:19	Tb	2:19	0.2143	period	78	LOW_CONFIDENCE
254	Tb	2:19	Tb	2:19	0.2069	annotation_marker	177	LOW_CONFIDENCE
255	Tb	10:2	Tb	5:2	0.5263	period	179	OK
256	Tb	10:5	Tb	6:5	0.3250	period	168	MARGINAL
257	Tb	2:5	Tb	2:5	0.1786	period	113	LOW_CONFIDENCE
258	Tb	2:6	Tb	2:6	0.2000	period	126	LOW_CONFIDENCE
259	Tb	2:5	Tb	7:5	0.4737	period	73	OK
260	Tb	8:19	Tb	8:19	0.5227	annotation_marker	173	OK
261	Tb	9:7	Tb	9:7	0.2297	period	485	LOW_CONFIDENCE
262	Tb	12:4	Tb	12:4	0.3514	period	147	OK
263	Jdt	2:4	Jdt	1:4	0.3000	period	78	MARGINAL
264	Jdt	1:7	Jdt	1:7	0.2143	period	44	LOW_CONFIDENCE
265	Jdt	1:6	Jdt	2:7	0.2632	period	328	MARGINAL
266	Jdt	2:6	Jdt	3:6	0.3158	period	208	MARGINAL
267	Jdt	2:5	Jdt	4:6	0.4000	period	358	OK
268	Jdt	2:10	Jdt	4:10	0.3750	period	259	OK
269	Jdt	6:17	Is	61:2	0.3200	period	95	MARGINAL
270	Jdt	13:27	Jdt	13:27	0.0000	period	17	STRUCTURAL_GAP
271	Jdt	13:27	Jdt	13:27	0.3571	period	112	OK
272	Jdt	13:17	Dt	29:15	0.2727	period	33	MARGINAL
273	Jdt	13:16	Jdt	14:16	0.6250	period	159	OK
274	Jdt	15:4	Jdt	15:4	0.4474	period	177	OK
275	Jdt	15:12	Nm	31:2	0.2667	period	149	MARGINAL
276	Jdt	15:14	Jdt	15:14	0.2885	period	268	MARGINAL
277	Jdt	15:2	Jdt	16:2	0.3448	none	122	MARGINAL
278	Jdt	15:3	Jdt	15:3	0.2353	period	52	LOW_CONFIDENCE
279	Jdt	15:5	Jdt	16:5	0.3158	none	207	MARGINAL
280	Jdt	15:6	Jb	3:2	0.2500	period	37	MARGINAL
281	Jdt	15:7	Jdt	15:7	0.2143	period	62	LOW_CONFIDENCE
282	Jdt	15:8	Jdt	15:8	0.2041	period	146	LOW_CONFIDENCE
283	Jdt	15:9	Jdt	16:9	0.4545	none	129	OK
284	Jdt	15:10	Dn	13:30	0.2857	none	63	MARGINAL
285	Jdt	15:11	Jdt	15:11	0.2400	period	101	LOW_CONFIDENCE
286	Jdt	15:13	Jdt	15:13	0.2128	none	232	STRUCTURAL_GAP
287	Jdt	15:15	Jdt	16:15	0.4667	period	67	OK
