BookAbbrev	Chapter	Verse	VerseText_1609
Is	3	18	In that day thal our Lord cake away-the ornament of fhses, andlitle meones,.
Is	3	19	And combes , and floppes , and tablets , and {weete balles, and earlets, 21, apparel , and fhorte clokes , andthe fine iinen and needles,
Is	3	23	and loo-: for {weete fauour there thal beftiake, and fora girdica corde, and for men alfo /hal fal by-che fworde, and thy firong-ones in batrle.
Is	3	26	And ground, CHoarv. IFIL After the déffrufion of theleses , manie women shal fecke tormarie witb one + man.
Is	3	2	Busse relikes, repenting of their finnes shal revurne teGod ,5.and fouwrish “ynder his protefion, my Np (4) feuen women fhal take hqld of one man in a that day , faying : We wileate our owne bread , and be Wo couered with our garments: only letthy name be called fps, VPouivs, take away ourreproch,
Is	3	2	Inthat day the bud ‘of our Lord fhal be in magnificence , and glorie, and Std the fruiz ofthe earth high, and-exulrationto them , thar of Pirieual Sion, and'(b) fhaltemajne in-Tera(alemr, thal be called: helie , euerie aC Noval the one thar is writren in lifein Ierufalem,
Is	3	4	If our. Lord fhal cleanfethe ewes tharef- filch of the daughters of Sion, and thal wath the bloud‘of.Ierafalem our caped tem of the middes thereof in the {pirit of iudgement, and‘pirit of heate, 5;. poral goat in And our Lord fhal create vpon euctie place of mounr Sion, and-where } of les eee heis inuocated , a cloud’by day-, and {moke , and the brightnes: of bur thofe.only faming fyre in the nighe: for vpon al glorie. protection,
Is	3	6	And there shal be eve;- Shaljbe a tabernacle for a place of fhadow inthe day. from the heate, and nallyfaugd; for fecuritie, and:cousst ftom the whyrlewind , and fromrayne. that belicuing shal be ba~ prized and line! peel Cap. Cte a
Is	6	1	porder the figure of « barren vineyard, is propbecsed the reieftion of she Tewes, 7.for their finnes of auarice, 11 antemperance,€~ other witkednes a}
Is	6	8	one iniguitie drawing an other, 20.iudging rood to be ewil and enil good.2§. For which she Gentils of diuers nations shat affudt them. » Wt fing tomy beloued (4) thecanricle of my Way) : i) ey madeto my beloued in horne,thefonne of oile, 2. . BS i Saetest And he hedged it, and chofe ftonesout of ir, and Sm Ere, planted it ele , and built atowre in the middes PAP? thereof,and fet vp apreffe therein:and looked that eZee itfhould yeald grapes,and it yealded wilde grapes. ; 3-Now therfore ye inhabirants of Icrufalem , and men of Inda,iudge betweenme and my vVineyeard.4.What is there that] ought to doe morcto my vineyeard, and haue not done to it? Whether that Tlooke dit should yeald grapes,and it hath yealded wilde grapes?5, away the hedge therof, and it shal be into fpoile: 1wilthrow downe the ouergrowe it rand I wil command the clouds. that they rayne no shower vpon it.
Is	6	7	For the yineyearde of the Lord-ofholtes, is rhe thar it should doe iudgement , and behold iniquitic : and iuftice,and be- fmiddes ofthe carh? g_ Thefethingsarein my eares , fayrh the Lord band chirtie bushels of feede shal yeald three bushels.x
Is	6	1	Woe co you that mor confider the workes-of his andes.
Is	6	13	Fhetfore is'my peoeplc lea ifore hath bel-dilared his foule,and opened hismouth without anie limite: land their itrong ones, and their peopie,and their high and glorious ones lexercifes , tandt shal defcend mto it, ‘
Is	6	15	And man shal be bowed, and man shal be hum por: to folow}! lbied,and the eies of the loftic shal be brought low,
Is	6	16	And the Lord of {drunkennes jhoftes shal be exalred in iudgement, and the holie God shal be fanGtified Mor other ‘iniuftice,
Is	6	17	And the lembes shal feede accordingto their order, anc { 1ii iirangers OF ISATLE, 451) h cofin concerning his vinyeard. A vineyeard was tife vp eately to folow drunkennes,& to drinke euen vntil enening , thar you may be ir-flamed with wine.12.Harpe,and xiol, &¢ timbrel,and shal- } ‘me, de winein-yourfeaftescand (¢)rcheworke of eur Lord you regard not, away captiue, becaufe they had not knowledge, and their nobles died nitiontecele- ‘with famine,and the multitude thereof dried away with thirft,
Is	6	14	Ther- fbrate fettinal (a) I faite of the! tribe of Tuda nere prophe- cicth the dole~, ful fong. pehich Chritt virered wee- Iping ouer Fe- rufalein,fore- fecing & fore= tellin g their deftruction. And now I wil fhew you what wil dot to my vineyeard, () Iwi rake Cacrg.y, 4h. (6) Al this Isheweth thar wal thereof,and it shal be robe eroden vpon.
Is	6	6	And Lwil lay it waft: it God only fub— shal not be pruned,and jt shal natbe diggediand bryers and thornes shal {tra&ing his t protection, ne fan por peor houfe of Hrael : andthe man of Inda, his dele@ablebud: & Llooked ple isablets ftand; of whofe ruine hold clamour,
Is	6	8	Woe to you that ieyne houfe to-houfe, and Jay fielde God isner tha to fielde,euentotheend ofthe place : why shalyou alone dwel in the authour, bus lonly permie— lof hoftes: vnles manie great and fayre houfes become defolate, without, fech shat they jan inhabiter.10.For ten actes of the vineyards shal yeald one litle flagon, fal inte Genes, and fo into o- ther miferies, 1c) An admow kdayes. with ho~ ly religious wicked or rayne things. 52 THE PROPHECIE ftrangers fhal eate the defertsturned into frutefnlnes.18,. Wee to you that draw iniquitie in cordes of vanitie , & finne asthelitike ofa wayhe, 19. W hich fay-let him make haft , & lerhis worke come quickly, thar we may fee it:& letthe counfel of the holie one.of Iftac] come , and ave fhal know it.20,Woeynto you that cal euil good; & good euil:purting dark- nes light, and light datknes:putring bitter for fweete,8¢ fweere. for bitter, 21,Woe to-you that are wifein your ownceies, and prudent before your- felues, 22.Woeto youthat are mightie to drinke wine , & ftourmenin drunkennes.
Is	6	23	Which iuftifethe impious for gifts, and take away the aiuftice af the iuft from them,
Is	6	24	For this, even as the tongue of fire de- sroureth ftuble,and the heateof the flame burneth it wp:fo.{nal their roote cbc as ifles, and their bud fhal rifewp as duft ,for they haue-caftaway the Jaw of the Lord ofhoftes , and haucblafphemed the word of the holie one of Iftael.
Is	6	25	Therfore is the furie of our Lord wrath againft his peo- ple,and he hath ftrerched out his hand vpon them, & {truckenthem:and the meuntaines were troubled, and their carcaffes weremade as dungin the middesof the ftreets, In althefe things his.furie is not eurned away, (1yGricnons (4) buryet is hishand ftretched forth.
Is	6	26	And he thal liftvp afigne in ‘Hanes muft bel the nations afarre,and shal whiftleto him of the ends of the earth : and Isticuoufly pu- behold he fhal.come in haft {peedily.
Is	6	27	There is none that faynteth, nor Inisbed Suen that Jaboureth in him , he wii nocflumber, norfleepe, neither fhal the finneef the gitdle of hisreinesbe loofed , neither shal the latchet of his fhoe be. bro- Hewes perfe- Ken,28.His arrowes fharpe,and al his bowes bent. The hootes af his hor- cuting Chrift.t fes as the flint, & his wheels asthe violence of atempeft,
Is	6	29	Hisroar- ingas aliens, he fhal roare as fians whelps : and he wil gnafh,and hold a) Neither the praye,and.clafpe it,and there fhal be none to plucke it away.30,And [faie,nor it fhal found-vpon him in thar day,asthe found of the fea:we thal locke IMoyfes,nor toward the earth, and’behold darkenes of tribulation , and the light is anicother darkened inthe mift therof, mortal man Idid euer fee God én him
Is	45	1	felfe,but only - shadowed. Xet Tummdae ac * rhe Prophet after a glorious ‘vilien s lamenteth his former filences 6.his lippes aceafed,con- being purified by an Angel with « hore coal, 8.be is-wallingly fent, ex fo pro- demned,and phecseth thar the peoples hart wilbe hardned ; shew cities shal be deftroyed, but ERAT Le put lfaicto thes shal be Pucldeat, good relkes shal be conferued. ypon retence 5 . ‘+ 1 om of blatpbemic, ) Nhe yeare that King Ozias died,I faw.our Lord fitting 4.Reg. for faying vpon an highthrone and eleuated:and thofe things that '35. that he faw 3 were ynder hin filled thetemple,
Is	45	2	Seraphims itoode '+-Pe?. (God. Which spon the fame: {ix wings to on difix wi he ** he otherwife ‘VP " €: 43x Wangs Cs and dix WINES tome faid not but other:with two («) they couered hisface,and with rwo comered by she they couered his feete, and with two they flew,
Is	45	3	And Juvings ofthe tity cried-one to an other,and layd: Holie,holie,holic,the Lord God of Seraphim, — Hotis Apo. 4, Rom.t1 + Reg. 16. Matr:. knowe it not.
Is	45	1	Blinde the hart of this people , and make their eares j p
Is	45	57	faying: 2 jag i heauie,and fhut their cies : left perhaps they may fee wirhtheireies., and 7 Phom shal hoftes,a¥the earth is ful of his glorie.
Is	45	4	And the lintles of the dores were \Origen iz bunc moued at the voice of iim thrat cried, & the hovfe was filled with fmoke. iam, gS.
Is	45	5	AndI faid : Woe isame becaufe 1 hauc held my peace, becaufe] ama _ rm Tradl mari of-pollared lippes, and I dwel im the middes of-a peopte that hath paref. polluted Jippes, and the King the Lord of hoftest here feen’ with-mine {(6) ‘Ifaie was - cies,6:Arid one of thre Seraphims fleweto me,& in his hand an hore cole, Inotonly an which hehad taken with rongs fromthe akar.
Is	45	7	And he rouchtd my. [Fnangelical: mouth, and faid:: Behold chis hatlrtouchred try lippes,and thine iniquitre Apoft olical fal betaxertaway,& thy finne fhal be cleanfed.8.And 1 heard the voice iPropher , with of our Lord faying: Whom (6) fal Ifend: and who fhal gne for vs>And] ‘whom God fayd:'Loel am here,fend me.
